count,description,amount_per_100g,amount_per_cup
1146710,"Watercress, raw",250.0,85.0
1146891,"Watercress, cooked",262.6,372.892
1147311,"Broccoli, raw",102.0,91.8
1150920,Broccoli casserole with rice,46.2,105.336
1151066,Fried broccoli,53.6,45.56
1151245,"Broccoli, chinese, raw",89.1,32.07599999999999
1151375,"Broccoli, Chinese, cooked",92.2,81.13600000000001
1152090,Spinach soup,180.2,441.49
1152559,"Carrots, raw",13.2,15.839999999999998
1152936,"Carrots, raw, salad",42.4,74.2
1155270,"Carrots, NS as to form, cooked",15.6,24.96
1157580,"Carrots, glazed, cooked",12.4,19.840000000000003
1160281,"Pumpkin, canned, cooked",17.8,43.61000000000001
1160427,"Pumpkin, cooked",3.5,8.049999999999999
1160606,"Winter squash, raw",1.1,1.54
1160995,"Squash, winter, souffle",3.3,5.181
1163871,"Sweet potato, candied",4.2,10.5
1164976,"Sweet potato fries, NFS",4.8,2.88
1165236,Sweet potato chips,24.4,6.1
1165626,"Sweet potato fries, frozen",4.8,2.88
1165821,"Sweet potato fries, from fresh",12.0,7.199999999999999
1166211,"Sweet potato fries, school",4.8,2.88
1166406,Sweet potato tots,4.8,6.24
1166797,"Sweet potato tots, school",4.8,6.24
